emlak_tipi,m2_brut,m2_net,oda_sayisi,bina_yaşi,bulundugu_kat,isitma,banyo_sayisi,balkon,esyali,site_icerisi,krediye_uygun,kimden,konum,fiyat
0,110.0,100.0,4,0,0,0,0,0,2,2,1,3,0,355000.0
0,100.0,90.0,4,9,29,0,0,0,2,2,1,1,0,295000.0
0,85.0,80.0,4,0,0,0,0,0,2,2,1,1,0,370000.0
0,145.0,130.0,7,0,10,0,1,0,2,2,1,1,0,420000.0
0,80.0,80.0,4,3,10,0,0,0,2,2,1,2,0,280000.0
0,80.0,75.0,4,6,14,10,0,0,2,2,1,1,0,205000.0
0,162.0,133.0,7,0,13,0,1,0,2,1,2,3,0,720000.0
0,178.0,130.0,7,0,10,0,1,0,2,2,2,3,0,445000.0
0,90.0,85.0,4,5,26,0,0,1,2,2,1,1,0,120000.0
0,85.0,75.0,4,0,20,0,0,0,2,2,1,3,0,420000.0
0,85.0,80.0,4,5,10,0,0,0,2,1,1,1,0,450000.0
0,100.0,90.0,4,5,13,0,0,0,2,2,1,1,0,207000.0
0,90.0,85.0,4,7,10,0,0,0,2,2,1,1,0,360000.0
0,95.0,90.0,4,6,10,0,0,0,2,2,1,1,0,160000.0
0,150.0,150.0,7,0,0,0,1,0,2,2,1,1,0,745000.0
0,240.0,240.0,10,9,31,0,1,0,2,2,1,1,0,650000.0
0,90.0,80.0,4,5,14,10,0,0,2,2,1,1,0,209000.0
0,142.0,135.0,7,0,31,10,1,0,2,2,1,1,0,675000.0
0,110.0,95.0,7,6,15,0,0,0,2,2,1,1,0,190000.0
2,250.0,180.0,9,5,28,10,0,0,1,1,0,2,0,800000.0
0,90.0,90.0,4,2,29,0,0,0,2,2,0,1,0,430000.0
0,150.0,135.0,7,5,13,0,0,0,2,2,1,1,0,260000.0
2,156.0,65.0,10,5,27,8,2,0,2,2,2,2,0,600000.0
0,95.0,90.0,4,2,14,0,0,0,2,1,1,1,0,325000.0
0,97.0,95.0,4,5,13,0,0,0,2,2,1,1,0,177000.0
0,135.0,120.0,7,0,10,0,0,0,2,2,1,1,0,390000.0
0,150.0,140.0,7,5,14,0,0,0,2,1,1,1,0,227000.0
0,170.0,165.0,7,7,0,0,1,0,2,2,1,1,0,740000.0
