0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
936031916,  03 Eylül 2021,  Satılık Daire ,264.0,250.0,  5+2,  4,  3,  3,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  0,  Evet,  Belirtilmemiş,  Sahibinden,  Hayır,  Hayır ,İnegöl,760.000
952156039,  03 Eylül 2021,  Satılık Müstakil Ev ,120.0,120.0,  2+2,  26-30 arası,  1,  Soba,  1,  Yok,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Evet ,İnegöl,310.000,
952133569,  03 Eylül 2021,  Satılık Daire ,130.0,115.0,  3+1,  21-25 arası,  4,  4,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Kiracılı,  Evet,  Seçkin Sitesi,  40,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Evet,  Hayır ,İnegöl,500.000
943121309,  03 Eylül 2021,  Satılık Daire ,148.0,135.0,  4+1,  5-10 arası,  3,  3,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  0,  Evet,  Kat Mülkiyetli,  İnşaat Firmasından,  Evet,  Hayır ,İnegöl,495.000
929409079,  03 Eylül 2021,  Satılık Daire ,210.0,195.0,  5+1,  0,  3,  3,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,İnegöl,700.000
936207293,  03 Eylül 2021,  Satılık Daire ,115.0,105.0,  2+1,  3,  3,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Kiracılı,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,İnegöl,345.000
943447453,  04 Eylül 2021,  Satılık Daire ,145.0,135.0,  3+1,  0,  2,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Evet,  Kardeşler Sitesi,  0,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Hayır ,İnegöl,495.000
951958389,  03 Eylül 2021,  Satılık Daire ,105.0,93.0,  2+1,  0,  Bahçe Katı,  3,  Kat Kaloriferi,  1,  Var,  Belirtilmemiş,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  0,  Evet,  Kat Mülkiyetli,  Sahibinden,  Hayır,  Evet ,İnegöl,280.000
943445420,  04 Eylül 2021,  Satılık Daire ,125.0,118.0,  2+1,  11-15 arası,  Giriş Katı,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Belirtilmemiş,  Kat Mülkiyetli,  Emlak Ofisinden,  Evet,  Hayır ,İnegöl,350.000
923755973,  03 Eylül 2021,  Satılık Daire ,120.0,108.0,  3+1,  21-25 arası,  4,  4,  Yok,  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Evet,  Hayır ,İnegöl,241.500
932522818,  03 Eylül 2021,  Satılık Daire ,105.0,100.0,  2+1,  21-25 arası,  3,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  0,  Hayır,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,İnegöl,350.000
900795472,  04 Eylül 2021,  Satılık Daire ,140.0,130.0,  3+1,  0,  Yüksek Giriş,  4,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  0,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Hayır ,İnegöl,675.000
932520240,  03 Eylül 2021,  Satılık Daire ,110.0,96.0,  2+1,  26-30 arası,  5,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  0,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,İnegöl,210.000
838091910,  04 Eylül 2021,  Satılık Daire ,175.0,175.0,  4+1,  0,  3,  3,  Doğalgaz (Kombi),  3,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  0,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,İnegöl,675.000
934609200,  03 Eylül 2021,  Satılık Daire ,230.0,220.0,  4+2,  5-10 arası,  3,  3,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  0,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,İnegöl,750.000
879852823,  04 Eylül 2021,  Satılık Daire ,190.0,190.0,  6+1,  5-10 arası,  3,  3,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  0,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Hayır ,İnegöl,625.000
929560412,  03 Eylül 2021,  Satılık Daire ,135.0,130.0,  3+1,  0,  3,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  0,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,İnegöl,500.000
950475774,  03 Eylül 2021,  Satılık Müstakil Ev ,130.0,125.0,  5+1,  5-10 arası,  1,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Sahibinden,  Hayır,  Evet ,İnegöl,680.000,
952580997,  05 Eylül 2021,  Satılık Daire ,106.0,90.0,  2+1,  1,  1,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Kiracılı,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  Sahibinden,  Hayır,  Evet ,İnegöl,415.000
940675446,  03 Eylül 2021,  Satılık Daire ,115.0,100.0,  2+1,  5-10 arası,  Zemin Kat,  3,  Doğalgaz (Kombi),  1,  Var,  Belirtilmemiş,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Belirtilmemiş,  Kat Mülkiyetli,  Emlak Ofisinden,  Evet,  Evet ,İnegöl,310.000
951978342,  02 Eylül 2021,  Satılık Daire ,140.0,130.0,  3+1,  16-20 arası,  2,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Kiracılı,  Evet,  Reyhan Sitesi,  100,  Evet,  Kat Mülkiyetli,  İnşaat Firmasından,  Evet,  Evet ,İnegöl,385.000
925261264,  02 Eylül 2021,  Satılık Daire ,145.0,130.0,  3+1,  0,  2,  5,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Evet,  Belirtilmemiş,  50,  Evet,  Kat Mülkiyetli,  İnşaat Firmasından,  Evet,  Evet ,İnegöl,529.000
951939402,  02 Eylül 2021,  Satılık Daire ,105.0,90.0,  2+1,  5-10 arası,  Zemin Kat,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Bilinmiyor,  Emlak Ofisinden,  Hayır,  Hayır ,İnegöl,420.000
908245447,  02 Eylül 2021,  Satılık Daire ,155.0,140.0,  3+1,  0,  1,  5,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,İnegöl,550.000
942844884,  02 Eylül 2021,  Satılık Villa ,120.0,110.0,  3+1,  0,  2,  Yerden Isıtma,  2,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  0,  Belirtilmemiş,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Hayır ,İnegöl,1.150.000,,
942843593,  02 Eylül 2021,  Satılık Daire ,130.0,125.0,  3+1,  16-20 arası,  4,  4,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  0,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,İnegöl,315.000
951859821,  02 Eylül 2021,  Satılık Daire ,125.0,120.0,  3+1,  16-20 arası,  Giriş Altı Kot 4,  4,  Doğalgaz (Kombi),  1,  Var,  Evet,  Mülk Sahibi,  Evet,  Serhat Sitesi,  30,  Evet,  Kat Mülkiyetli,  Sahibinden,  Evet,  Hayır ,İnegöl,375.000
843690269,  02 Eylül 2021,  Satılık Daire ,167.0,156.0,  2+2,  2,  Giriş Altı Kot 3,  3,  Doğalgaz (Kombi),  1,  Var,  Belirtilmemiş,  Kiracılı,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Sahibinden,  Hayır,  Evet ,İnegöl,550.000
952145392,  03 Eylül 2021,  Satılık Daire ,163.0,163.0,  3+1,  2,  3,  4,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  İnşaat Firmasından,  Hayır,  Hayır ,İnegöl,450.000
951832619,  02 Eylül 2021,  Satılık Daire ,110.0,100.0,  2+1,  4,  3,  3,  Doğalgaz (Kombi),  1,  Var,  Evet,  Boş,  Hayır,  Belirtilmemiş,  0,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,İnegöl,355.000
917469382,  03 Eylül 2021,  Satılık Daire ,210.0,210.0,  5+1,  0,  3,  3,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  İnşaat Firmasından,  Evet,  Hayır ,İnegöl,700.000
951814799,  02 Eylül 2021,  Satılık Daire ,188.0,188.0,  4+1,  5-10 arası,  Giriş Altı Kot 3,  3,  Doğalgaz (Kombi),  2,  Var,  Evet,  Kiracılı,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Belirtilmemiş,  Kat Mülkiyetli,  Sahibinden,  Hayır,  Hayır ,İnegöl,575.000
940418486,  02 Eylül 2021,  Satılık Daire ,220.0,200.0,  5+2,  4,  3,  3,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Hayır,  Kat İrtifaklı,  Emlak Ofisinden,  Evet,  Hayır ,İnegöl,630.000
940650401,  02 Eylül 2021,  Satılık Müstakil Ev ,180.0,120.0,  3+1,  26-30 arası,  1,  Soba,  1,  Yok,  Hayır,  Kiracılı,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Hayır,  Kat İrtifaklı,  Emlak Ofisinden,  Evet,  Hayır ,İnegöl,510.000,
940914148,  02 Eylül 2021,  Satılık Daire ,160.0,154.0,  4+1,  3,  3,  3,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Evet,  Hayır ,İnegöl,365.000
943461535,  04 Eylül 2021,  Satılık Daire ,85.0,80.0,  2+1,  21-25 arası,  3,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  0,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Hayır ,İnegöl,285.000
942765419,  02 Eylül 2021,  Satılık Daire ,140.0,130.0,  3+1,  16-20 arası,  1,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Mülk Sahibi,  Evet,  Reyhan Sitesi,  50,  Evet,  Bilinmiyor,  Emlak Ofisinden,  Evet,  Hayır ,İnegöl,355.000
947080171,  02 Eylül 2021,  Satılık Daire ,195.0,180.0,  3+1,  5-10 arası,  3,  3,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  50,  Evet,  Belirtilmemiş,  Emlak Ofisinden,  Hayır,  Hayır ,İnegöl,835.000
951804501,  02 Eylül 2021,  Satılık Daire ,115.0,100.0,  3+1,  0,  4,  4,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Evet,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Evet,  Hayır ,İnegöl,415.000
943442737,  04 Eylül 2021,  Satılık Daire ,125.0,118.0,  3+1,  0,  3,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Evet,  Kardeşler Sitesi,  0,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Hayır ,İnegöl,480.000
951791812,  02 Eylül 2021,  Satılık Daire ,165.0,150.0,  3+1,  1,  Yüksek Giriş,  4,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Kiracılı,  Evet,  Belirtilmemiş,  50,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Evet,  Evet ,İnegöl,630.000
951791686,  02 Eylül 2021,  Satılık Daire ,147.0,138.0,  3+1,  0,  2,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  0,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Evet ,İnegöl,720.000
