0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
927471780,  04 Eylül 2021,  Satılık Daire ,130.0,120.0,  3+1,  1,  2,  4,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Evet,  Hayır ,Karacabey,360.000
952479019,  04 Eylül 2021,  Satılık Daire ,110.0,100.0,  2+1,  16-20 arası,  2,  4,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Evet,  Hayır ,Karacabey,315.000
918583262,  04 Eylül 2021,  Satılık Çiftlik Evi ,1.176,1.176,  1.176,  3,  1,  10,  2,  Soba,  Betonarme,  1,  Var,  İkinci El,  Boş,  Hisseli,  Yok,  Bilinmiyor,  İnşaat Firmasından,  Hayır,  Hayır ,Karacabey,565.000
942836928,  04 Eylül 2021,  Satılık Daire ,145.0,130.0,  3+1,  0,  2,  3,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Hayır,  Kat İrtifaklı,  İnşaat Firmasından,  Hayır,  Hayır ,Karacabey,500.000
487793704,  04 Eylül 2021,  Satılık Daire ,172.0,162.0,  3+1,  0,  1,  5,  Yerden Isıtma,  2,  Var,  Hayır,  Boş,  Evet,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  İnşaat Firmasından,  Hayır,  Hayır ,Karacabey,625.000
812980640,  04 Eylül 2021,  Satılık Çiftlik Evi ,230.0,200.0,  2.300,  4,  1,  10,  2,  Soba,  Betonarme,  2,  Var,  İkinci El,  Mülk Sahibi Oturuyor,  Hisseli,  Yok,  Hayır,  Emlak Ofisinden,  Hayır,  Hayır ,Karacabey,1.500.000
952381702,  04 Eylül 2021,  Satılık Daire ,145.0,140.0,  3+1,  0,  3,  4,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Evet ,Karacabey,345.000
952235516,  03 Eylül 2021,  Satılık Müstakil Ev ,167.0,95.0,  2+1,  16-20 arası,  1,  Yok,  1,  Var,  Hayır,  Kiracılı,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Hayır,  Kat Mülkiyetli,  Sahibinden,  Hayır,  Hayır ,Karacabey,175.000,
943228002,  03 Eylül 2021,  Satılık Müstakil Ev ,400.0,100.0,  3+1,  1,  1,  Yok,  1,  Var,  Belirtilmemiş,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Belirtilmemiş,  Bilinmiyor,  Emlak Ofisinden,  Hayır,  Hayır ,Karacabey,625.000,
784809388,  03 Eylül 2021,  Satılık Daire ,132.0,120.0,  3+1,  0,  Zemin Kat,  4,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  İnşaat Firmasından,  Hayır,  Hayır ,Karacabey,345.000
922414945,  03 Eylül 2021,  Satılık Daire ,90.0,90.0,  2+1,  0,  1,  2,  Klima,  2,  Var,  Hayır,  Boş,  Evet,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Belirtilmemiş,  Sahibinden,  Hayır,  Hayır ,Karacabey,450.000
929180908,  03 Eylül 2021,  Satılık Müstakil Ev ,495.0,150.0,  2+1,  5-10 arası,  1,  Soba,  1,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  0,  Evet,  Bilinmiyor,  Emlak Ofisinden,  Evet,  Hayır ,Karacabey,295.000,
487781618,  04 Eylül 2021,  Satılık Daire ,162.0,152.0,  3+1,  0,  Bahçe Katı,  5,  Yerden Isıtma,  2,  Var,  Hayır,  Boş,  Evet,  Belirtilmemiş,  200,  Hayır,  Kat İrtifaklı,  İnşaat Firmasından,  Hayır,  Hayır ,Karacabey,575.000
936180629,  03 Eylül 2021,  Satılık Daire ,135.0,100.0,  2+1,  0,  Zemin Kat,  4,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  İnşaat Firmasından,  Evet,  Evet ,Karacabey,255.000
785279869,  03 Eylül 2021,  Satılık Daire ,166.0,156.0,  3+1,  0,  3,  4,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  İnşaat Firmasından,  Hayır,  Hayır ,Karacabey,525.000
950934633,  02 Eylül 2021,  Satılık Daire ,147.0,130.0,  3+1,  0,  3,  4,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  Sahibinden,  Evet,  Evet ,Karacabey,357.000
951861704,  02 Eylül 2021,  Satılık Daire ,120.0,115.0,  3+1,  16-20 arası,  5,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Evet,  Hayır ,Karacabey,175.000
950921942,  02 Eylül 2021,  Satılık Daire ,115.0,115.0,  2+1,  16-20 arası,  3,  4,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Mülk Sahibi,  Evet,  Güven Sitesi,  Belirtilmemiş,  Belirtilmemiş,  Kat Mülkiyetli,  Sahibinden,  Hayır,  Hayır ,Karacabey,200.000
878139268,  02 Eylül 2021,  Satılık Daire ,133.0,125.0,  3+1,  5-10 arası,  3,  3,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  25,  Evet,  Belirtilmemiş,  Sahibinden,  Hayır,  Hayır ,Karacabey,335.000
889515589,  02 Eylül 2021,  Satılık Daire ,140.0,120.0,  3+1,  11-15 arası,  5,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  30,  Evet,  Kat Mülkiyetli,  Sahibinden,  Hayır,  Hayır ,Karacabey,255.000
942780570,  02 Eylül 2021,  Satılık Daire ,150.0,135.0,  3+1,  5-10 arası,  2,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  0,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Karacabey,260.000
942770102,  02 Eylül 2021,  Satılık Villa ,150.0,120.0,  4+1,  5-10 arası,  2,  Yok,  2,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  0,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Karacabey,850.000,,
952421720,  04 Eylül 2021,  Satılık Yazlık ,65.0,55.0,  1+1,  0,  Zemin Kat,  1,  Isı Pompası,  1,  Var,  Belirtilmemiş,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Belirtilmemiş,  Kat Mülkiyetli,  İnşaat Firmasından,  Hayır,  Hayır ,Karacabey,225.000
951801872,  02 Eylül 2021,  Satılık Daire ,138.0,130.0,  3+1,  3,  Yüksek Giriş,  4,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Hayır ,Karacabey,335.000
935328084,  02 Eylül 2021,  Satılık Daire ,145.0,138.0,  3+1,  2,  1,  4,  Doğalgaz (Kombi),  2,  Yok,  Hayır,  Kiracılı,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Karacabey,350.000
759224543,  02 Eylül 2021,  Satılık Daire ,120.0,108.0,  3+1,  26-30 arası,  4,  4,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Mülk Sahibi,  Evet,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Hayır ,Karacabey,130.000
772314670,  02 Eylül 2021,  Satılık Daire ,120.0,112.0,  3+1,  11-15 arası,  4,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Karacabey,170.000
951775192,  02 Eylül 2021,  Satılık Daire ,135.0,120.0,  3+1,  16-20 arası,  5,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Bilinmiyor,  Emlak Ofisinden,  Evet,  Hayır ,Karacabey,165.000
901477402,  02 Eylül 2021,  Satılık Daire ,140.0,120.0,  2.5+1,  3,  Yüksek Giriş,  6,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Kiracılı,  Evet,  Belirtilmemiş,  200,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Evet,  Hayır ,Karacabey,355.000
951696822,  02 Eylül 2021,  Satılık Daire ,118.0,110.0,  2+1,  4,  1,  4,  Doğalgaz (Kombi),  2,  Yok,  Belirtilmemiş,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Belirtilmemiş,  Kat İrtifaklı,  Sahibinden,  Evet,  Hayır ,Karacabey,225.000
903615934,  01 Eylül 2021,  Satılık Daire ,136.0,120.0,  3+1,  0,  2,  4,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Evet,  Evet ,Karacabey,350.000
951951541,  02 Eylül 2021,  Satılık Daire ,145.0,125.0,  3+1,  0,  3,  4,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Belirtilmemiş,  Kat İrtifaklı,  İnşaat Firmasından,  Evet,  Evet ,Karacabey,375.000
952243324,  03 Eylül 2021,  Satılık Daire ,97.0,92.0,  2+1,  0,  Zemin Kat,  2,  Yok,  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  0,  Evet,  Kat İrtifaklı,  İnşaat Firmasından,  Hayır,  Hayır ,Karacabey,325.000
942264360,  01 Eylül 2021,  Satılık Daire ,195.0,180.0,  4+1,  0,  Giriş Altı Kot 1,  1,  Yok,  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  45,  Evet,  Belirtilmemiş,  Sahibinden,  Evet,  Hayır ,Karacabey,465.000
941595542,  03 Eylül 2021,  Satılık Daire ,200.0,200.0,  4+1,  0,  4,  4,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Bilinmiyor,  İnşaat Firmasından,  Hayır,  Hayır ,Karacabey,450.000
915039075,  01 Eylül 2021,  Satılık Daire ,190.0,145.0,  5+1,  0,  4,  4,  Doğalgaz (Kombi),  3,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Belirtilmemiş,  Emlak Ofisinden,  Hayır,  Evet ,Karacabey,450.000
951452149,  01 Eylül 2021,  Satılık Daire ,75.0,70.0,  2+1,  1,  2,  2,  Soba,  1,  Var,  Evet,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Hayır ,Karacabey,390.000
916386112,  01 Eylül 2021,  Satılık Daire ,100.0,85.0,  2+1,  21-25 arası,  Giriş Katı,  4,  Soba,  1,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Hayır,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Evet ,Karacabey,270.000
951428395,  01 Eylül 2021,  Satılık Daire ,90.0,80.0,  2+1,  26-30 arası,  2,  4,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Bilinmiyor,  Emlak Ofisinden,  Evet,  Hayır ,Karacabey,217.500
951423334,  01 Eylül 2021,  Satılık Daire ,140.0,135.0,  3+1,  16-20 arası,  4,  4,  Doğalgaz (Kombi),  2,  Yok,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Hayır,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Karacabey,185.000
927440098,  01 Eylül 2021,  Satılık Daire ,110.0,100.0,  2+1,  1,  3,  4,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  50,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Evet,  Evet ,Karacabey,300.000
823776670,  01 Eylül 2021,  Satılık Daire ,127.0,120.0,  3+1,  0,  1,  2,  Soba,  1,  Var,  Belirtilmemiş,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  İnşaat Firmasından,  Evet,  Evet ,Karacabey,550.000
951267443,  01 Eylül 2021,  Satılık Daire ,200.0,170.0,  2+1,  3,  3,  3,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Sahibinden,  Hayır,  Hayır ,Karacabey,620.000
929012906,  31 Ağustos 2021,  Satılık Daire ,200.0,200.0,  4+1,  0,  Giriş Altı Kot 3,  3,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Evet ,Karacabey,545.000
951241280,  31 Ağustos 2021,  Satılık Yazlık ,65.0,60.0,  2+1,  4,  Yüksek Giriş,  2,  Klima,  1,  Var,  Evet,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Belirtilmemiş,  Kat Mülkiyetli,  Sahibinden,  Hayır,  Hayır ,Karacabey,340.000
951262079,  31 Ağustos 2021,  Satılık Daire ,140.0,135.0,  3+1,  3,  Giriş Altı Kot 3,  4,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Sahibinden,  Evet,  Evet ,Karacabey,465.000
951949205,  02 Eylül 2021,  Satılık Daire ,130.0,110.0,  3+1,  0,  Zemin Kat,  4,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  İnşaat Firmasından,  Evet,  Evet ,Karacabey,280.000
951949205,  02 Eylül 2021,  Satılık Daire ,130.0,110.0,  3+1,  0,  Zemin Kat,  4,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  İnşaat Firmasından,  Evet,  Evet ,Karacabey,280.000
934223912,  31 Ağustos 2021,  Satılık Daire ,98.0,78.0,  2+1,  5-10 arası,  2,  2,  Yok,  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Hayır,  Kat İrtifaklı,  İnşaat Firmasından,  Hayır,  Evet ,Karacabey,360.000
