0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
936422859,  04 Eylül 2021,  Satılık Daire ,145.0,130.0,  3+1,  11-15 arası,  3,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Evet,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Evet,  Evet ,Mudanya,515.000
918804956,  04 Eylül 2021,  Satılık Villa ,340.0,280.0,  4+1,  0,  2,  Doğalgaz (Kombi),  4,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  0,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Hayır ,Mudanya,3.650.000,,
762130515,  04 Eylül 2021,  Satılık Daire ,180.0,160.0,  5+1,  1,  5,  5,  Doğalgaz (Kombi),  2,  Var,  Belirtilmemiş,  Boş,  Hayır,  Belirtilmemiş,  50,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Evet ,Mudanya,550.000
943267845,  04 Eylül 2021,  Satılık Daire ,318.0,290.0,  4+2,  4,  5,  5,  Doğalgaz (Kombi),  4,  Var,  Hayır,  Mülk Sahibi,  Evet,  Likoğlu Residence,  200,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Evet,  Hayır ,Mudanya,1.600.000
943444792,  04 Eylül 2021,  Satılık Daire ,200.0,180.0,  4+1,  11-15 arası,  3,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Evet,  Hayır ,Mudanya,615.000
829741794,  04 Eylül 2021,  Satılık Villa ,314.0,230.0,  4+1,  16-20 arası,  3,  Doğalgaz (Kombi),  3,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  100,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Evet,  Evet ,Mudanya,1.800.000,,
935683113,  04 Eylül 2021,  Satılık Daire ,70.0,50.0,  1+1,  4,  Bahçe Katı,  4,  Doğalgaz (Kombi),  1,  Yok,  Hayır,  Kiracılı,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Mudanya,230.000
942912532,  04 Eylül 2021,  Satılık Daire ,110.0,90.0,  2+1,  21-25 arası,  1,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  25,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Hayır ,Mudanya,390.000
922946180,  04 Eylül 2021,  Satılık Daire ,100.0,90.0,  2+1,  4,  Bahçe Katı,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  135,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Evet ,Mudanya,482.000
922946180,  04 Eylül 2021,  Satılık Daire ,100.0,90.0,  2+1,  4,  Bahçe Katı,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  135,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Evet ,Mudanya,482.000
