0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
936278103,  04 Eylül 2021,  Satılık Daire ,110.0,100.0,  2+1,  21-25 arası,  3,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Kiracılı,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Bilinmiyor,  Sahibinden,  Hayır,  Hayır ,Mustafakemalpaşa,177.000
952500474,  04 Eylül 2021,  Satılık Daire ,105.0,100.0,  2+1,  0,  1,  4,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Evet,  Hayır ,Mustafakemalpaşa,260.000
952486746,  04 Eylül 2021,  Satılık Daire ,133.0,120.0,  3+1,  0,  Yüksek Giriş,  2,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Evet,  Hayır ,Mustafakemalpaşa,335.000
952454405,  04 Eylül 2021,  Satılık Daire ,70.0,50.0,  1+1,  11-15 arası,  3,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Kiracılı,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Mustafakemalpaşa,225.000
895121352,  04 Eylül 2021,  Satılık Daire ,300.0,250.0,  5+1,  0,  4,  4,  Doğalgaz Sobası,  4,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Evet,  Hayır ,Mustafakemalpaşa,720.000
909487638,  04 Eylül 2021,  Satılık Daire ,150.0,135.0,  3+1,  5-10 arası,  3,  3,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Belirtilmemiş,  Sahibinden,  Hayır,  Hayır ,Mustafakemalpaşa,350.000
900896294,  04 Eylül 2021,  Satılık Daire ,190.0,190.0,  3+1,  0,  3,  3,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  0,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Evet ,Mustafakemalpaşa,680.000
952423775,  04 Eylül 2021,  Satılık Daire ,140.0,135.0,  3+1,  21-25 arası,  2,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Evet,  Belirtilmemiş,  Belirtilmemiş,  Hayır,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Hayır ,Mustafakemalpaşa,260.000
952402735,  04 Eylül 2021,  Satılık Daire ,200.0,160.0,  3+1,  0,  3,  4,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  50,  Evet,  Kat İrtifaklı,  Sahibinden,  Evet,  Hayır ,Mustafakemalpaşa,450.000
952194013,  03 Eylül 2021,  Satılık Daire ,115.0,110.0,  3+1,  16-20 arası,  Yüksek Giriş,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Hayır,  Kat Mülkiyetli,  Emlak Ofisinden,  Evet,  Evet ,Mustafakemalpaşa,270.000
940690722,  03 Eylül 2021,  Satılık Müstakil Ev ,610.0,240.0,  4+1,  5-10 arası,  2,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Evet,  Evet ,Mustafakemalpaşa,2.400.000,
936223795,  03 Eylül 2021,  Satılık Daire ,110.0,90.0,  2+1,  26-30 arası,  Giriş Katı,  3,  Doğalgaz Sobası,  1,  Yok,  Hayır,  Kiracılı,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Hayır,  Hisseli,  Emlak Ofisinden,  Hayır,  Evet ,Mustafakemalpaşa,79.000
952136661,  03 Eylül 2021,  Satılık Müstakil Ev ,65.0,60.0,  2+1,  31 ve üzeri,  2,  Doğalgaz (Kombi),  1,  Var,  Evet,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Hayır,  Kat Mülkiyetli,  Emlak Ofisinden,  Evet,  Hayır ,Mustafakemalpaşa,130.000,
952119161,  03 Eylül 2021,  Satılık Daire ,135.0,125.0,  3+1,  5-10 arası,  4,  4,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Mülk Sahibi,  Evet,  Ufukkent Konut Yapı Kooperatifi,  50,  Evet,  Kat İrtifaklı,  Sahibinden,  Hayır,  Hayır ,Mustafakemalpaşa,410.000
