0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
943093048,  04 Eylül 2021,  Satılık Daire ,105.0,90.0,  1+1,  4,  3,  4,  Doğalgaz (Kombi),  2,  Var,  Evet,  Kiracılı,  Evet,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Bilinmiyor,  Emlak Ofisinden,  Evet,  Hayır ,Nilüfer,289.000
952540748,  04 Eylül 2021,  Satılık Daire ,155.0,145.0,  3+1,  5-10 arası,  1,  5,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Evet,  Hayır ,Nilüfer,690.000
929373498,  04 Eylül 2021,  Satılık Daire ,95.0,80.0,  2+1,  0,  4,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Evet,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Bilinmiyor,  Emlak Ofisinden,  Hayır,  Evet ,Nilüfer,345.000
931609277,  04 Eylül 2021,  Satılık Daire ,66.0,54.0,  2+1,  0,  3,  4,  Doğalgaz (Kombi),  1,  Var,  Evet,  Boş,  Evet,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Belirtilmemiş,  Emlak Ofisinden,  Evet,  Hayır ,Nilüfer,289.000
936207294,  04 Eylül 2021,  Satılık Daire ,130.0,115.0,  3+1,  5-10 arası,  4,  6,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Nilüfer,530.000
952538320,  04 Eylül 2021,  Satılık Daire ,240.0,220.0,  4+1,  0,  Bahçe Katı,  3,  Yerden Isıtma,  2,  Var,  Hayır,  Boş,  Evet,  Belirtilmemiş,  Belirtilmemiş,  Hayır,  Kat İrtifaklı,  Emlak Ofisinden,  Evet,  Evet ,Nilüfer,2.650.000
943608685,  04 Eylül 2021,  Satılık Daire ,165.0,135.0,  3+1,  5-10 arası,  2,  4,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Evet,  Belirtilmemiş,  50,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Evet,  Hayır ,Nilüfer,500.000
952531296,  04 Eylül 2021,  Satılık Daire ,135.0,135.0,  3+1,  0,  Giriş Katı,  7,  Yerden Isıtma,  2,  Yok,  Hayır,  Mülk Sahibi,  Evet,  Akçakent Yapı Evleri,  Belirtilmemiş,  Belirtilmemiş,  Kat Mülkiyetli,  Sahibinden,  Hayır,  Evet ,Nilüfer,390.000
883413570,  04 Eylül 2021,  Satılık Daire ,195.0,155.0,  3+1,  0,  2,  6,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Evet,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  İnşaat Firmasından,  Evet,  Hayır ,Nilüfer,610.000
943464842,  04 Eylül 2021,  Satılık Daire ,155.0,135.0,  3+1,  2,  Bahçe Katı,  8,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  150,  Evet,  Kat Mülkiyetli,  İnşaat Firmasından,  Hayır,  Evet ,Nilüfer,750.000
952534459,  04 Eylül 2021,  Satılık Daire ,130.0,120.0,  3+1,  16-20 arası,  1,  4,  Merkezi,  1,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  50,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Evet ,Nilüfer,410.000
952530506,  04 Eylül 2021,  Satılık Daire ,138.0,120.0,  3+1,  5-10 arası,  1,  4,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Kiracılı,  Evet,  Belirtilmemiş,  160,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Nilüfer,641.000
889934741,  04 Eylül 2021,  Satılık Daire ,310.0,263.0,  4+1,  0,  6,  7,  Yerden Isıtma,  3,  Var,  Hayır,  Boş,  Evet,  Güleç Egemen Evler,  800,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Nilüfer,2.850.000
952529918,  04 Eylül 2021,  Satılık Daire ,200.0,180.0,  3+1,  0,  5,  5,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  100,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Nilüfer,590.000
952529477,  04 Eylül 2021,  Satılık Daire ,160.0,150.0,  3+1,  3,  3,  5,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  50,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Evet ,Nilüfer,549.000
876542024,  04 Eylül 2021,  Satılık Daire ,75.0,65.0,  2+1,  0,  1,  4,  Doğalgaz (Kombi),  1,  Yok,  Hayır,  Boş,  Evet,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Hayır ,Nilüfer,225.000
920167091,  04 Eylül 2021,  Satılık Daire ,95.0,85.0,  2+1,  5-10 arası,  4,  4,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Kiracılı,  Evet,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Evet ,Nilüfer,315.000
952526599,  04 Eylül 2021,  Satılık Daire ,95.0,85.0,  3+1,  0,  6,  6,  Yerden Isıtma,  1,  Var,  Evet,  Kiracılı,  Evet,  Ekin Prestij,  150,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Evet,  Hayır ,Nilüfer,299.999
936535165,  04 Eylül 2021,  Satılık Daire ,160.0,140.0,  3+1,  0,  Bahçe Katı,  6,  Yerden Isıtma,  2,  Var,  Hayır,  Boş,  Evet,  Nilüfer Hatun Evleri,  350,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Nilüfer,925.000
934318567,  04 Eylül 2021,  Satılık Daire ,155.0,145.0,  3+1,  0,  1,  5,  Yerden Isıtma,  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  150,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Evet,  Hayır ,Nilüfer,635.000
943520793,  04 Eylül 2021,  Satılık Daire ,145.0,125.0,  3+1,  5-10 arası,  1,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Kiracılı,  Hayır,  Belirtilmemiş,  50,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Evet,  Hayır ,Nilüfer,570.000
952519594,  04 Eylül 2021,  Satılık Daire ,250.0,220.0,  5+1,  1,  4,  5,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Nilüfer,1.249.000
952510294,  04 Eylül 2021,  Satılık Villa ,350.0,325.0,  7+1,  0,  3,  Yerden Isıtma,  3,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Hayır,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Hayır ,Nilüfer,4.250.000,,
