0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
943795687,  05 Eylül 2021,  Satılık Daire ,220.0,200,  4+2,  21-25 arası,  5,  6,  Doğalgaz (Kombi),  3,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  20,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Evet ,Orhangazi,275.000
929880960,  05 Eylül 2021,  Satılık Daire ,200.0,160,  3.5+1,  5-10 arası,  Bahçe Katı,  4,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Sahibinden,  Hayır,  Hayır ,Orhangazi,820.000
846784057,  05 Eylül 2021,  Satılık Daire ,140.0,125,  3+1,  0,  1,  5,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Orhangazi,345.000
952533632,  04 Eylül 2021,  Satılık Daire ,165.0,145,  3+1,  11-15 arası,  2,  6,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Kiracılı,  Evet,  Bektaş Ateş Sitesi,  70,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Evet,  Hayır ,Orhangazi,400.000
952530061,  04 Eylül 2021,  Satılık Daire ,155.0,135,  3+1,  4,  3,  3,  Doğalgaz (Kombi),  1,  Var,  Belirtilmemiş,  Mülk Sahibi,  Evet,  Kadı Evleri,  Belirtilmemiş,  Belirtilmemiş,  Kat Mülkiyetli,  Sahibinden,  Hayır,  Hayır ,Orhangazi,630.000
952523073,  04 Eylül 2021,  Satılık Müstakil Ev ,963.0,170,  4+1,  16-20 arası,  3,  Soba,  3,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Bilinmiyor,  Sahibinden,  Hayır,  Hayır ,Orhangazi,1.600.000,
900511183,  04 Eylül 2021,  Satılık Çiftlik Evi ,750.0,650,  11.750,  8,  2,  30,  3,  Kat Kaloriferi,  Betonarme,  3,  Var,  İkinci El,  Mülk Sahibi Oturuyor,  Kat Mülkiyetli,  Var,  Evet,  Emlak Ofisinden,  Hayır,  Evet ,Orhangazi,4.250.000
934192692,  04 Eylül 2021,  Satılık Daire ,78.0,76,  2+1,  21-25 arası,  5,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Sahibinden,  Hayır,  Hayır ,Orhangazi,151.000
952440793,  04 Eylül 2021,  Satılık Daire ,98.0,90,  2+1,  0,  Yüksek Giriş,  5,  Doğalgaz (Kombi),  1,  Var,  Belirtilmemiş,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Bilinmiyor,  Emlak Ofisinden,  Hayır,  Hayır ,Orhangazi,310.000
929656842,  04 Eylül 2021,  Satılık Daire ,125.0,110,  3+1,  5-10 arası,  2,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Evet,  Evet ,Orhangazi,370.000
