0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
913458173,  04 Eylül 2021,  Satılık Residence ,135.0,120.0,  3+1,  11-15 arası,  5,  22,  Merkezi (Pay Ölçer),  2,  Var,  Hayır,  Boş,  Evet,  Sinpaş GYO Bursa Modern,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Osmangazi,785.000
952533054,  04 Eylül 2021,  Satılık Daire ,130.0,105.0,  3+1,  4,  4,  5,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  50,  Evet,  Kat Mülkiyetli,  Sahibinden,  Hayır,  Hayır ,Osmangazi,659.000
936329415,  04 Eylül 2021,  Satılık Daire ,110.0,100.0,  2+1,  3,  Yüksek Giriş,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Osmangazi,300.000
952528947,  04 Eylül 2021,  Satılık Daire ,180.0,160.0,  4+1,  5-10 arası,  3,  3,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Belirtilmemiş,  Kat Mülkiyetli,  Sahibinden,  Evet,  Evet ,Osmangazi,470.000
943585043,  04 Eylül 2021,  Satılık Daire ,183.0,163.0,  4+1,  4,  3,  3,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Evet ,Osmangazi,385.000
942788227,  04 Eylül 2021,  Satılık Daire ,140.0,120.0,  3+1,  0,  2,  4,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Evet ,Osmangazi,460.000
928787382,  04 Eylül 2021,  Satılık Daire ,120.0,115.0,  2+1,  2,  Bahçe Katı,  6,  Merkezi (Pay Ölçer),  1,  Var,  Hayır,  Mülk Sahibi,  Evet,  Yükselen Park,  230,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Osmangazi,725.000
952528276,  04 Eylül 2021,  Satılık Daire ,126.0,101.0,  3+1,  26-30 arası,  Giriş Katı,  5,  Doğalgaz (Kombi),  1,  Var,  Evet,  Boş,  Hayır,  Belirtilmemiş,  65,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Evet,  Hayır ,Osmangazi,490.000
929591970,  04 Eylül 2021,  Satılık Daire ,100.0,90.0,  2+1,  4,  Zemin Kat,  3,  Doğalgaz (Kombi),  1,  Yok,  Hayır,  Kiracılı,  Hayır,  Belirtilmemiş,  0,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Osmangazi,246.000
705759452,  04 Eylül 2021,  Satılık Daire ,85.0,85.0,  2+1,  26-30 arası,  Yüksek Giriş,  6,  Doğalgaz Sobası,  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Hayır,  Hisseli,  Emlak Ofisinden,  Hayır,  Hayır ,Osmangazi,180.000
952525576,  04 Eylül 2021,  Satılık Daire ,100.0,85.0,  2+1,  21-25 arası,  1,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Kiracılı,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Osmangazi,249.000
952525576,  04 Eylül 2021,  Satılık Daire ,100.0,85.0,  2+1,  21-25 arası,  1,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Kiracılı,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Osmangazi,249.000
952519916,  04 Eylül 2021,  Satılık Müstakil Ev ,365.0,330.0,  6+3,  31 ve üzeri,  3,  Doğalgaz (Kombi),  3,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  0,  Hayır,  Kat Mülkiyetli,  Emlak Ofisinden,  Evet,  Hayır ,Osmangazi,690.000,
884104153,  04 Eylül 2021,  Satılık Daire ,135.0,125.0,  3+1,  0,  9,  11,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  0,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Osmangazi,635.000
952514880,  04 Eylül 2021,  Satılık Daire ,227.0,190.0,  3+1,  5-10 arası,  4,  4,  Doğalgaz (Kombi),  3,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Sahibinden,  Hayır,  Hayır ,Osmangazi,415.000
943572114,  04 Eylül 2021,  Satılık Daire ,110.0,100.0,  2+1,  3,  2,  2,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  0,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Evet ,Osmangazi,350.000
947776880,  04 Eylül 2021,  Satılık Daire ,140.0,120.0,  3+1,  0,  3,  5,  Yerden Isıtma,  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Evet,  Hayır ,Osmangazi,630.000
943583323,  04 Eylül 2021,  Satılık Villa ,530.0,450.0,  7+2,  11-15 arası,  4,  Doğalgaz (Kombi),  4,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  0,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Osmangazi,3.650.000,,
952510304,  04 Eylül 2021,  Satılık Residence ,88.0,72.0,  1+1,  0,  3,  12,  Merkezi,  1,  Var,  Hayır,  Mülk Sahibi,  Evet,  Alpiş Aden House,  300,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Evet,  Hayır ,Osmangazi,475.000
771522100,  04 Eylül 2021,  Satılık Daire ,165.0,135.0,  3+1,  2,  7,  15,  Merkezi (Pay Ölçer),  2,  Var,  Hayır,  Boş,  Evet,  Belirtilmemiş,  360,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Osmangazi,799.000
952511437,  04 Eylül 2021,  Satılık Daire ,150.0,135.0,  3+1,  26-30 arası,  1,  4,  Doğalgaz (Kombi),  1,  Yok,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  50,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Evet,  Hayır ,Osmangazi,405.000
943576869,  04 Eylül 2021,  Satılık Daire ,210.0,200.0,  3+1,  11-15 arası,  4,  4,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  40,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Osmangazi,1.200.000
932961901,  04 Eylül 2021,  Satılık Daire ,110.0,100.0,  3+1,  31 ve üzeri,  3,  4,  Doğalgaz (Kombi),  1,  Var,  Belirtilmemiş,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Hisseli,  Emlak Ofisinden,  Evet,  Hayır ,Osmangazi,195.000
