emlak_tipi,m2_brut,m2_net,oda_sayisi,bina_yaşi,bulundugu_kat,isitma,banyo_sayisi,balkon,esyali,site_icerisi,krediye_uygun,kimden,konum,fiyat
  Satılık Daire ,110.0,100.0,  2+1,  0,  1,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  İnşaat Firmasından,Gemlik,355000.0
  Satılık Daire ,100.0,90.0,  2+1,  4,  Yüksek Giriş,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,295000.0
  Satılık Daire ,85.0,80.0,  2+1,  0,  1,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,370000.0
  Satılık Daire ,145.0,130.0,  3+1,  0,  2,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,420000.0
  Satılık Daire ,80.0,80.0,  2+1,  16-20 arası,  2,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Sahibinden,Gemlik,280000.0
  Satılık Daire ,80.0,75.0,  2+1,  26-30 arası,  4,  Yok,  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,205000.0
  Satılık Daire ,162.0,133.0,  3+1,  0,  3,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Evet,  Hayır,  İnşaat Firmasından,Gemlik,720000.0
  Satılık Daire ,178.0,130.0,  3+1,  0,  2,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Hayır,  Hayır,  İnşaat Firmasından,Gemlik,445000.0
  Satılık Daire ,90.0,85.0,  2+1,  21-25 arası,  Giriş Katı,  Doğalgaz (Kombi),  1,  Yok,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,120000.0
  Satılık Daire ,85.0,75.0,  2+1,  0,  Bahçe Katı,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  İnşaat Firmasından,Gemlik,420000.0
  Satılık Daire ,85.0,80.0,  2+1,  21-25 arası,  2,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Evet,  Evet,  Emlak Ofisinden,Gemlik,450000.0
  Satılık Daire ,100.0,90.0,  2+1,  21-25 arası,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,207000.0
  Satılık Daire ,90.0,85.0,  2+1,  3,  2,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,360000.0
  Satılık Daire ,95.0,90.0,  2+1,  26-30 arası,  2,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,160000.0
  Satılık Daire ,150.0,150.0,  3+1,  0,  1,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,745000.0
  Satılık Daire ,240.0,240.0,  4+1,  4,  Çatı Katı,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,650000.0
  Satılık Daire ,90.0,80.0,  2+1,  21-25 arası,  4,  Yok,  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,209000.0
  Satılık Daire ,142.0,135.0,  3+1,  0,  Çatı Katı,  Yok,  2,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,675000.0
  Satılık Daire ,110.0,95.0,  3+1,  26-30 arası,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,190000.0
  Satılık Yazlık ,250.0,180.0,  3.5+1,  21-25 arası,  Villa Tipi,  Yok,  1,  Var,  Evet,  Evet,  Belirtilmemiş,  Sahibinden,Gemlik,800000.0
  Satılık Daire ,90.0,90.0,  2+1,  11-15 arası,  Yüksek Giriş,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Belirtilmemiş,  Emlak Ofisinden,Gemlik,430000.0
  Satılık Daire ,150.0,135.0,  3+1,  21-25 arası,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,260000.0
  Satılık Yazlık ,156.0,65.0,  4+1,  21-25 arası,  Müstakil,  Soba,  3,  Var,  Hayır,  Hayır,  Hayır,  Sahibinden,Gemlik,600000.0
  Satılık Daire ,95.0,90.0,  2+1,  11-15 arası,  4,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Evet,  Evet,  Emlak Ofisinden,Gemlik,325000.0
  Satılık Daire ,97.0,95.0,  2+1,  21-25 arası,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,177000.0
  Satılık Daire ,135.0,120.0,  3+1,  0,  2,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,390000.0
  Satılık Daire ,150.0,140.0,  3+1,  21-25 arası,  4,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Evet,  Evet,  Emlak Ofisinden,Gemlik,227000.0
  Satılık Daire ,170.0,165.0,  3+1,  3,  1,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,740000.0
  Satılık Daire ,300.0,210.0,  4+1,  0,  Çatı Katı,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Evet,  Evet,  İnşaat Firmasından,Gemlik,900000.0
  Satılık Daire ,60.0,50.0,  1+1,  5-10 arası,  2,  Doğalgaz (Kombi),  1,  Yok,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,200000.0
  Satılık Daire ,151.0,145.0,  4+1,  4,  Giriş Altı Kot 2,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Hayır,  Evet,  Sahibinden,Gemlik,438000.0
  Satılık Daire ,150.0,140.0,  3+1,  5-10 arası,  5,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Evet,  Evet,  Emlak Ofisinden,Gemlik,560000.0
  Satılık Daire ,146.0,95.0,  2+1,  0,  3,  Yerden Isıtma,  2,  Var,  Hayır,  Evet,  Evet,  İnşaat Firmasından,Gemlik,690000.0
  Satılık Daire ,120.0,115.0,  3+1,  21-25 arası,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Belirtilmemiş,  Sahibinden,Gemlik,215000.0
  Satılık Daire ,210.0,190.0,  3+1,  5-10 arası,  2,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,485000.0
  Satılık Daire ,90.0,80.0,  2+1,  26-30 arası,  4,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,130000.0
  Satılık Daire ,100.0,95.0,  2+1,  0,  Yüksek Giriş,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,345000.0
  Satılık Daire ,220.0,200.0,  5+1,  4,  5,  Doğalgaz (Kombi),  3,  Var,  Hayır,  Evet,  Evet,  Emlak Ofisinden,Gemlik,950000.0
  Satılık Daire ,152.0,137.0,  4+1,  5-10 arası,  Bodrum Kat,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,219912.0
  Satılık Daire ,115.0,105.0,  3+1,  31 ve üzeri,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Belirtilmemiş,  Sahibinden,Gemlik,190000.0
  Satılık Daire ,210.0,200.0,  4+1,  0,  3,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,490000.0
  Satılık Daire ,85.0,75.0,  2+1,  16-20 arası,  4,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,275000.0
  Satılık Daire ,155.0,146.0,  3+1,  16-20 arası,  5,  Doğalgaz Sobası,  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,250000.0
  Satılık Daire ,105.0,100.0,  2+1,  21-25 arası,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,260000.0
  Satılık Daire ,170.0,140.0,  3+1,  0,  Villa Tipi,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Evet,  Hayır,  İnşaat Firmasından,Gemlik,720000.0
  Satılık Daire ,70.0,60.0,  1+1,  31 ve üzeri,  1,  Soba,  1,  Var,  Evet,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,115000.0
  Satılık Yazlık ,55.0,45.0,  1+1,  21-25 arası,  Yüksek Giriş,  Klima,  1,  Var,  Belirtilmemiş,  Hayır,  Evet,  Sahibinden,Gemlik,155000.0
  Satılık Daire ,205.0,185.0,  4+1,  0,  1,  Yerden Isıtma,  1,  Var,  Hayır,  Hayır,  Evet,  İnşaat Firmasından,Gemlik,600000.0
  Satılık Daire ,176.0,134.0,  3+1,  0,  1,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Hayır,  Hayır,  İnşaat Firmasından,Gemlik,410000.0
  Satılık Daire ,140.0,120.0,  2+1,  31 ve üzeri,  4,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,215000.0
  Satılık Daire ,160.0,135.0,  3+1,  5-10 arası,  Giriş Altı Kot 2,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,529000.0
  Satılık Daire ,130.0,110.0,  3+1,  5-10 arası,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Sahibinden,Gemlik,385000.0
  Satılık Daire ,130.0,120.0,  3+1,  5-10 arası,  Yüksek Giriş,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,355000.0
  Satılık Daire ,140.0,130.0,  3+1,  1,  1,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,314000.0
