0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
929610455,  04 Eylül 2021,  Satılık Daire ,110.0,95.0,  3+1,  16-20 arası,  4,  4,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Evet,  Hayır ,Yenişehir,170.000
936447916,  04 Eylül 2021,  Satılık Çiftlik Evi ,200.0,150.0,  23.000,  3,  1,  15,  2,  Yok,  Betonarme,  1,  Var,  İkinci El,  Mülk Sahibi Oturuyor,  Kat Mülkiyetli,  Yok,  Bilinmiyor,  Emlak Ofisinden,  Hayır,  Hayır ,Yenişehir,2.350.000
855954246,  04 Eylül 2021,  Satılık Müstakil Ev ,877.0,877.0,  7+3,  31 ve üzeri,  1,  Soba,  2,  Yok,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Evet,  Evet ,Yenişehir,730.000,
947548987,  03 Eylül 2021,  Satılık Daire ,105.0,100.0,  2+1,  3,  Zemin Kat,  1,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Bilinmiyor,  Emlak Ofisinden,  Hayır,  Hayır ,Yenişehir,195.000
936748707,  03 Eylül 2021,  Satılık Müstakil Ev ,199.0,199.0,  4+2,  31 ve üzeri,  1,  Soba,  1,  Yok,  Hayır,  Kiracılı,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Hayır,  Kat Mülkiyetli,  Sahibinden,  Evet,  Hayır ,Yenişehir,188.000,
928046183,  03 Eylül 2021,  Satılık Daire ,100.0,96.0,  2+1,  16-20 arası,  2,  4,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Kiracılı,  Hayır,  Belirtilmemiş,  10,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Evet,  Evet ,Yenişehir,250.000
868798410,  03 Eylül 2021,  Satılık Daire ,147.0,135.0,  3+1,  5-10 arası,  5,  5,  Merkezi,  2,  Var,  Hayır,  Mülk Sahibi,  Evet,  Ataevler Sitesi,  50,  Hayır,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Evet ,Yenişehir,375.000
952167774,  03 Eylül 2021,  Satılık Daire ,145.0,125.0,  3+1,  0,  2,  5,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  Sahibinden,  Evet,  Hayır ,Yenişehir,490.000
952176206,  03 Eylül 2021,  Satılık Daire ,100.0,85.0,  2+1,  16-20 arası,  3,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Yenişehir,300.000
916430736,  03 Eylül 2021,  Satılık Müstakil Ev ,150.0,149.0,  4+1,  5-10 arası,  1,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Hayır,  Belirtilmemiş,  Emlak Ofisinden,  Hayır,  Evet ,Yenişehir,230.000,
