0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
936261681,  04 Eylül 2021,  Satılık Daire ,153.0,138.0,  3+1,  0,  1,  11,  Yerden Isıtma,  2,  Var,  Hayır,  Boş,  Evet,  Flora Vita,  300,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,795.000
952453957,  04 Eylül 2021,  Satılık Daire ,220.0,205.0,  4+1,  0,  4,  4,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  50,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Evet ,Yıldırım,650.000
952448466,  04 Eylül 2021,  Satılık Müstakil Ev ,197.0,197.0,  3+1,  26-30 arası,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,745.000,
844754209,  04 Eylül 2021,  Satılık Daire ,90.0,85.0,  2+1,  26-30 arası,  1,  5,  Doğalgaz (Kombi),  1,  Yok,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  20,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,220.000
952447746,  04 Eylül 2021,  Satılık Daire ,75.0,70.0,  2+1,  31 ve üzeri,  1,  6,  Klima,  1,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,125.000
952448133,  04 Eylül 2021,  Satılık Daire ,140.0,120.0,  3+1,  5-10 arası,  3,  6,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Kiracılı,  Evet,  Bursa Reel Evleri,  100,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,625.000
952444789,  04 Eylül 2021,  Satılık Daire ,120.0,110.0,  3+1,  21-25 arası,  3,  4,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Kiracılı,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Evet,  Hayır ,Yıldırım,355.000
901077473,  04 Eylül 2021,  Satılık Daire ,120.0,110.0,  2+1,  11-15 arası,  Yüksek Giriş,  7,  Merkezi,  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  85,  Evet,  Bilinmiyor,  Emlak Ofisinden,  Evet,  Hayır ,Yıldırım,225.000
952443325,  04 Eylül 2021,  Satılık Daire ,125.0,115.0,  3+1,  16-20 arası,  1,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Kiracılı,  Evet,  Yalçın Sitesi,  0,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,385.000
928774123,  04 Eylül 2021,  Satılık Müstakil Ev ,127.0,127.0,  4+1,  21-25 arası,  4,  Doğalgaz (Kombi),  4,  Var,  Hayır,  Kiracılı,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Bilinmiyor,  Emlak Ofisinden,  Evet,  Hayır ,Yıldırım,540.000,
936206484,  04 Eylül 2021,  Satılık Daire ,140.0,130.0,  3+1,  2,  1,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Evet,  Hayır ,Yıldırım,465.000
772917190,  04 Eylül 2021,  Satılık Daire ,115.0,90.0,  2+1,  0,  Yüksek Giriş,  6,  Merkezi,  1,  Var,  Hayır,  Boş,  Evet,  Belirtilmemiş,  Belirtilmemiş,  Hayır,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,550.000
943737123,  05 Eylül 2021,  Satılık Daire ,140.0,120.0,  3+1,  16-20 arası,  7,  9,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Kiracılı,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,425.000
952422221,  04 Eylül 2021,  Satılık Daire ,120.0,100.0,  3+1,  11-15 arası,  Giriş Katı,  6,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Kiracılı,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Hayır,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,310.000
943457290,  04 Eylül 2021,  Satılık Daire ,123.0,113.0,  2+1,  1,  7,  11,  Merkezi (Pay Ölçer),  1,  Var,  Hayır,  Mülk Sahibi,  Evet,  Belirtilmemiş,  120,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,499.000
